audio_file	sentence	original_sentence	spanish_sentence	lid_tokens	split	speaker
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_128945.0-135145.0.wav	neh oniquihtoh xa siquiera canah oyah axan iuan maestra de nen den primaria xa siquiera oyah iuan	ne u ni kijto xa siquiera kana uya axa ihua maestra de nen, den primaria xa siquiera uya ihuan	yo dije que alomejor fue hoy con la maestra de este, de la primaria, alomejor se fue con ella	neh//nhi oniquihtoh//nhi xa//nhi siquiera//spa canah//nhi oyah//nhi axan//nhi iuan//nhi maestra//spa de//spa nen//nhi den//mixed primaria//spa xa//nhi siquiera//spa oyah//nhi iuan//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_138535.0-139235.0.wav	ah sí	ah si	ah si	ah//intj sí//spa	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_139795.0-142955.0.wav	pero yeh xa yeh mostla xa tiotlac xa occualcan yas	pero ye xa yej mustla xa tiutlak xa ok cualkantsin yas	pero alomejor mañana en la tarde,  se va un poco temprano	pero//spa yeh//nhi xa//nhi yeh//nhi mostla//nhi xa//nhi tiotlac//nhi xa//nhi occualcan//nhi yas//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_146865.0-149465.0.wav	para canas de de las cuatro	para kanas de, de las cuatro	para agarrar el de las cuatro	para//spa canas//nhi de//spa de//spa las//nhi cuatro//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_160995.0-162305.0.wav	tons xa cualcan quisasqueh	tons xa cualkan kisaskeh	entonces van a salir temprano	tons//spa xa//nhi cualcan//nhi quisasqueh//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_162675.0-165805.0.wav	pero mox xa techmacas tiempo tiualasqueh ualnican noyiuqui	pero mux xa tech makas tiempo ti hualaske hualnika nuyujki	pero apoco nos va a dar tiempo venir para aca tambien	pero//spa mox//nhi xa//nhi techmacas//nhi tiempo//spa tiualasqueh//nhi ualnican//nhi noyiuqui//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_169505.0-173145.0.wav	otlacomunicaroh tiquiuahc mox las cuatro las cuatro las doce	u tlacomunicaro tikihuajk mux las cuatro, las cuatro las doce	el presidente comunico que a las cuatro, las cuatro, las doce	otlacomunicaroh//mixed tiquiuahc//nhi mox//nhi las//spa cuatro//spa las//spa cuatro//spa las//spa doce//spa	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_179255.0-180285.0.wav	ualasqueh in coyomeh	hualasken kuyume	van a venir los mestizos	ualasqueh//nhi in//nhi coyomeh//nhi	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_189090.0-189830.0.wav	yeh cuali	yej kuali	esta bien	yeh//nhi cuali//nhi	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_192285.0-201595.0.wav	mati quenin nen quen este bueno quita nen ipan quemeh xa noyiuqui techiluis mox quitlacamateh coconeh o amo	mati kenin nej, ken este, bueno kita nen ipa keme xa niyujki tech iljuis mux ki tlakamate kukune o amo	no se como este, porque este, bueno vez que alomejor igual nos va a decir si le obedecen los niños o no	mati//nhi quenin//nhi nen//nhi quen//nhi este//spa bueno//spa quita//nhi nen//nhi ipan//nhi quemeh//adapted-spanish-loan xa//nhi noyiuqui//nhi techiluis//nhi mox//nhi quitlacamateh//nhi coconeh//nhi o//spa amo//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_208505.0-209385.0.wav	aquin otemagac	aki u temehak	quien pego	aquin//nhi otemagac//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_210470.0-211410.0.wav	yehuatl otemagac	yejuatl u temehak	el pego	yehuatl//nhi otemagac//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_217205.0-218925.0.wav	xa siquiera cualanis ne	xa sikiera kualanis ne:	alomejor se va a enojar este	xa//nhi siquiera//nhi cualanis//nhi ne//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_224737.0-227147.0.wav	ohcon mouica cachi in telpocameh yeyen	ujko mu huika cachi telpukame yeye	asi se llevan, mas los tres niños	ohcon//nhi mouica//nhi cachi//nhi in//nhi telpocameh//nhi yeyen//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_230107.0-231277.0.wav	uan eso amo miqueh	uan eso amo mike	y eso que no son muchos	uan//nhi eso//spa amo//nhi miqueh//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_236002.0-242202.0.wav	ichpocameh noyiuqui pero xiquita nen Leonor iichpocau bueno itonan nis telpocatl	ichpukame nuyujki pero ixkita nen Leonor y ichpukauh bueno y tuna nis telpukatl	las niñas tambien pero ve la hija de leonor, bueno su hija parece niño	ichpocameh//nhi noyiuqui//nhi pero//spa xiquita//nhi nen//nhi Leonor//NE-Person iichpocau//nhi bueno//spa itonan//nhi nis//nhi telpocatl//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_247492.0-249832.0.wav	quihtoa desde nen bueno desde cocotzin ohcon	kijtua desde ne bueno desde kujkutsi ujkon	dice que desde este, bueno desde chiquita asi es	quihtoa//nhi desde//spa nen//nhi bueno//spa desde//spa cocotzin//nhi ohcon//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_253802.0-255822.0.wav	amo tlen san tlayicoua	amo, tlen sa tlayikuhua	no, hace cualquier cosa	amo//nhi tlen//nhi san//nhi tlayicoua//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_261132.0-262502.0.wav	technauatisqueh	tech nahuatiske	nos van a decir	technauatisqueh//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_265502.0-275332.0.wav	oniquitac oualehcoc nen Carolina oniquitac ompa omitzitato onimolueh mox canah niman onicnimileh xa itlah itlah tleno den escuela	unikitak u hualejkok Carolina u ni kitak umpa u mits itato nimuljue mux kana nima u nik nimile xa itla, itlaj tleno den escuela	vi que subio carolina, vi que ahi te fue a ver me dije que alomejor, yo pense que alomejor por algo algo de la escuela	oniquitac//nhi oualehcoc//nhi nen//nhi Carolina//NE-Person oniquitac//nhi ompa//nhi omitzitato//nhi onimolueh//nhi mox//nhi canah//nhi niman//nhi onicnimileh//nhi xa//nhi itlah//nhi itlah//nhi tleno//nhi den//mixed escuela//spa	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_286192.0-287392.0.wav	yeh xa quiluis	yej xa kiljuis	alomejro si le va a decir	yeh//nhi xa//nhi quiluis//nhi	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_292317.0-295897.0.wav	amo pero mostla yeh xa uilica quiluis ompa iuan ichan mocauas	amo pero mustla yej xa huilika kiljuis umpa ihuan ichan mu kahuas	no, pero mañana alomejor le tiene que decirle que ahi en su casa se va a quedar	amo//nhi pero//spa mostla//nhi yeh//nhi xa//nhi uilica//nhi quiluis//nhi ompa//nhi iuan//nhi ichan//nhi mocauas//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_298887.0-299787.0.wav	mostla	mustla	mañana	mostla//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_326257.0-329527.0.wav	pero yen nen maestra den ocse xa quemah ocmacac isello	pero yen nen maestra den okse xa kema ok makak y sello	pero la maestra de la otra alomejor si le dio su sello	pero//spa yen//nhi nen//nhi maestra//spa den//mixed ocse//nhi xa//nhi quemah//nhi ocmacac//nhi isello//mixed	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_330902.0-333292.0.wav	quita oquihtoh mox ocnalitasquia	tikita u kijto mux uk nalitaskia	vez que dijo que la iba a ir a ver	quita//nhi oquihtoh//nhi mox//nhi ocnalitasquia//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_338547.0-339227.0.wav	aquin	akin	quien	aquin//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_341312.0-343112.0.wav	xa ocniquisquiaya nochi ya	xa uk nikiskiaya nuchi ya	alomejor quisiera que ya todo este	xa//nhi ocniquisquiaya//nhi nochi//nhi ya//spa	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_345847.0-351147.0.wav	ocniquisquiaya niman ma ma ahora sí ma mamoscalti ni...	uknikiskiaya nima  ma ma, ora si ma muskalti ni	quisiera que luego ,este , ahora que crezca su	ocniquisquiaya//nhi niman//nhi ma//nhi ma//nhi ahora//spa sí//spa ma//nhi mamoscalti//nhi ni...//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_352187.0-353437.0.wav	picante	picante	picante	picante//spa	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_357252.0-361812.0.wav	mox quemah mota nen quemeh tilauac y este nen	mux kema muta nej kemej tilahuak  y este nen	apoco si se ve como que esta grueso su, este	mox//nhi quemah//nhi mota//nhi nen//nhi quemeh//adapted-spanish-loan tilauac//nhi y//spa este//spa nen//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_367897.0-370867.0.wav	mox amo xa por neneh poloa atl	mux amo, xa por nenej puluhua atl	apoco no, alomejor po este le falta agua	mox//nhi amo//nhi xa//nhi por//spa neneh//nhi poloa//nhi atl//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_374582.0-380222.0.wav	yopehpeuaya ica non xiquita otiualtimoqueh uan neh oc onicman atl	yu pejpehuaya, ikanun ixkita u ti hualtimuke huan nej uk u nikman atl	ya empezaba, por eso vez que bajamos y yo todavia pare agua	yopehpeuaya//nhi ica//nhi non//nhi xiquita//nhi otiualtimoqueh//nhi uan//nhi neh//nhi oc//nhi onicman//nhi atl//nhi	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_381392.0-389172.0.wav	como xiquita otitiquitiqueh ica nen pico milauac chicauac nen tlali nochin nen tlalnixtl nochi mahcocui ich in se ixayac ich se itzonticon	como ixkita u ti tikitke ika nen pico milak chikahuak nen tlali nuchin nen tlalnixtl nuchi majkukui ichin se i xayak ich se i tsontikon	como vez que trabajamos con el pico, deveras estaba fuerte la tierra, todo el polvo de la tierra se levanta y en nuestra cara en nuestra cabeza	como//spa xiquita//nhi otitiquitiqueh//nhi ica//nhi nen//nhi pico//spa milauac//nhi chicauac//nhi nen//nhi tlali//nhi nochin//nhi nen//nhi tlalnixtl//nhi nochi//nhi mahcocui//nhi ich//nhi in//nhi se//nhi ixayac//nhi ich//nhi se//nhi itzonticon//nhi	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_389642.0-394782.0.wav	entonces onimahmoueh onicman atl para nimopacas uan neneh	tons u ni majmuhue, unikman atl para ni mu pakas, aun nenej	entonces me lave la cabeza, pare agua para bañarme y este	entonces//spa onimahmoueh//nhi onicman//nhi atl//nhi para//spa nimopacas//nhi uan//nhi neneh//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_396007.0-405597.0.wav	ohcon yen yonimopacac yeh cachi quemeh nis opehpeutoya uan tlamo san tipitzin yomonacteh yen opeu eheca	ojko yen, yu ni mu pakak yej kachi keme nis u pejpeujtuya, uan tlamo san tipitsi yu u nakte yen upeuj ejeka	asi este, ya me bañe y es cuando ya empezaba, y si no ya tantito ya se detuvo de que empezo a hacer aire	ohcon//nhi yen//nhi yonimopacac//nhi yeh//nhi cachi//nhi quemeh//adapted-spanish-loan nis//nhi opehpeutoya//nhi uan//nhi tlamo//nhi san//nhi tipitzin//nhi yomonacteh//nhi yen//nhi opeu//nhi eheca//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_420147.0-423097.0.wav	mati como yalua ocuicac tlacatl pero mati mox occuiliqueh	mati, como yaljua ukuikak tlakatl pero mati mux ok kuhuilijke	no se como ayer llevo el señor pero no se si le compraron	mati//nhi como//spa yalua//nhi ocuicac//nhi tlacatl//nhi pero//spa mati//nhi mox//nhi occuiliqueh//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_424792.0-425512.0.wav	mati	mati	no se	mati//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_427957.0-430927.0.wav	axan amo otlaticqueh mas xa siquiera yen mostla	axan amo u tlatikkej mas xa sikiera yen mustla	hoy no cortaron alomejor mañana	axan//nhi amo//nhi otlaticqueh//nhi mas//spa xa//nhi siquiera//spa yen//nhi mostla//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_431962.0-441142.0.wav	mostla o uiptla porque amo quihtoa Mireya mox san nepa oquis hasta amo mox san quemeh xa san yen quesqui vuelta porque hasta amo tlahco oyahqueh	mustla huiptla, porque amo, kijtuhua Mireya mux san nepa ukis hasta amo, mux san kemej xa sayen keski vuelta porque hasta amo tlajko u yajke	mañana o pasado, porque no, dice mireya, que alla salio no , solo como, alomejor como unas vueltas porque no fueron ni la mitad	mostla//nhi o//spa uiptla//nhi porque//spa amo//nhi quihtoa//nhi Mireya//NE-Person mox//nhi san//nhi nepa//nhi oquis//nhi hasta//spa amo//nhi mox//nhi san//nhi quemeh//adapted-spanish-loan xa//nhi san//nhi yen//nhi quesqui//nhi vuelta//spa porque//spa hasta//spa amo//nhi tlahco//nhi oyahqueh//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_451092.0-463312.0.wav	xa cualtzin bueno ipan yi quipiya quihtoa quemaniya ompa niquinualpantzacuile ichcameh ohcon niquitztoc yeh neneh yo... milauac cualtzin yocpiyaya uan xa yi quipiya quemeh se ye xa yochicueyitic	xa kualtsin, bueno ipa yi kipia kijtoa kemania umpa ni kin hualpantsakuile ichikame ujkon ni kitstok yej nenej yu milak kualtsin yuk piaya huan xa yi kipia keme se ye xa yu chikueyitik	alomejor esta bonito, bueno ya tiene un poco, digo que la otra vez ahi detuve a las borregas, asi estoy biendo y deveras ya tenia bien bonito y ya a de tener como una olomejor ya hizo ocho dias	xa//nhi cualtzin//nhi bueno//spa ipan//nhi yi//nhi quipiya//nhi quihtoa//nhi quemaniya//nhi ompa//nhi niquinualpantzacuile//nhi ichcameh//nhi ohcon//nhi niquitztoc//nhi yeh//nhi neneh//nhi yo...//nhi milauac//nhi cualtzin//nhi yocpiyaya//nhi uan//nhi xa//nhi yi//nhi quipiya//nhi quemeh//nhi se//nhi ye//nhi xa//nhi yochicueyitic//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_464327.0-475277.0.wav	ohcon yi quipiya que ompa oniualpanoc porque onicualpantzacuilihtoya neneh ichcameh uan para ahorita uan ica nin tonaltzin yeh xa cachi isiui	ujki yik pia ke umpa u ni hual panuk porque u nik hualpantsikuilijtuya nenej ichkame uan para ahorita huan ika nin tunaltsi yej xa kachi isihui	ya tiene de que pase por ahi, porque estava deteniendo a las borregas, y para ahorita y con este sol a de apurarse	ohcon//nhi yi//nhi quipiya//nhi que//spa ompa//nhi oniualpanoc//nhi porque//spa onicualpantzacuilihtoya//nhi neneh//nhi ichcameh//nhi uan//nhi para//spa ahorita//spa uan//nhi ica//nhi nin//nhi tonaltzin//nhi yeh//nhi xa//nhi cachi//nhi isiui//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_485127.0-486517.0.wav	mox ualtlaniuic nochi yoatlatequeh	mux hualtlaniuik nuchi yu tla ateke	apoco todo hacia abajo ya le regaste agua	mox//nhi ualtlaniuic//nhi nochi//nhi yoatlatequeh//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_491342.0-491982.0.wav	tleca	tleka	porque	tleca//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_496032.0-497812.0.wav	mox in tlen de neuquin in atl ehcotoc	mux tlen de naujkin atl ejkotok	apoco el agua que llega es de alla	mox//nhi in//nhi tlen//nhi de//spa neuquin//nhi in//nhi atl//nhi ehcotoc//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_516417.00000000006-526707.0.wav	tehuan ahorita bueno bueno iyeua motlapaqueh porque ompa ouitztoya den, de nica den, den agua potable ompa ouitztoya entonces niquiluia no... bueno nomaman como o... tiquita otlapiyato	tejuan ahorita, bueno iyehua mu tlapake porque umpa u huitstuya den, de nika den, den agua potable umpa u huistuya entonces nikiljuia nu, bueno nu maman como u tikita u tlapiato	nosotros ahorita, bueno hace rato que lave mi ropa por que ahi estaba cayendo de aqui del agua potable ahi estaba callendo entonces le digo a tu, bueno mi mama como ves que fue a cuidar	tehuan//nhi ahorita//spa bueno//spa bueno//spa iyeua//nhi motlapaqueh//nhi porque//spa ompa//nhi ouitztoya//nhi den,//adapted-spanish-loan de//spa nica//nhi den,//adapted-spanish-loan den//mixed agua//spa potable//spa ompa//nhi ouitztoya//nhi entonces//spa niquiluia//nhi no...//nhi bueno//spa nomaman//mixed como//spa o...//nhi tiquita//nhi otlapiyato//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_528027.0-536517.0.wav	tons nicchix... onicchixtoya para titlacuasqueh amo entonces opeu nimotlapaquiya uili ehcoticah atl uan miqueh tilmahmeh oniquimpac tlamo miquiasqueh uan niman amo tlen atl	tons nik chixtoya para ti tlakuaske amo ejko entonces yupej ni mu tlapakiya, huili ejkotika atl huan mike  nu tilmajme u ni kimpak tlamo mikiyaske huan nima  amo tlen atl	entonces la estaba esperando para comer, pero no llega entonces empece a lavar mi ropa, esta llegando agua y hay mucha ropa, las lave, porque si no se hacen muchas  y luego no hay agua	tons//spa nicchix...//nhi onicchixtoya//nhi para//spa titlacuasqueh//nhi amo//nhi entonces//spa opeu//nhi nimotlapaquiya//nhi uili//nhi ehcoticah//nhi atl//nhi uan//nhi miqueh//nhi tilmahmeh//nhi oniquimpac//nhi tlamo//nhi miquiasqueh//nhi uan//nhi niman//nhi amo//nhi tlen//nhi atl//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_538667.0-550977.0.wav	opeu niquimpaca notilmahuan uan neneh o... opeu neneh yehuatl nican atzintli pauitztoc mas tzocopintzin nepa ihquin tla amo tlen opauitzini nepa ihquin amo tlen	upeuj ni kim paka nu tilmajuan huan nenej u upeuj nenej yehuatl nikatsintlipahuitstok majh tsokopintsi nepa ijkin tla amo tlen u pahuitsini nepa ijkin amo tlen	empece a lavar mi ropa y este con ese agua que esta saliendo aunque poquito,alla si no saliera nada, y alla no hay nada	opeu//nhi niquimpaca//nhi notilmahuan//nhi uan//nhi neneh//nhi o...//nhi opeu//nhi neneh//nhi yehuatl//nhi nican//nhi atzintli//nhi pauitztoc//nhi mas//spa tzocopintzin//nhi nepa//nhi ihquin//nhi tla//nhi amo//nhi tlen//nhi opauitzini//nhi nepa//nhi ihquin//nhi amo//nhi tlen//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_551472.0-552622.0.wav	canin secanas	kanin se kanas	donde vamos a agarrar	canin//nhi secanas//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_559447.0-567677.0.wav	xa amo no tlen quiluihtoc nen icni porque pues nican yehuatl quicui para tlaamaca xa amo no tlen quiluitoc	xa amo nu tlen kiljuijtok ne ikni porque pues nika yehuatl kikui para tla amaka, xa amo nu tlen kiljuijtok	alomejor igual nole ah dicho nada su hermana porque pues aqui el lo ocupa para dar de tomar agua, alomejor igual no le ah dicho nada	xa//nhi amo//nhi no//nhi tlen//nhi quiluihtoc//nhi nen//nhi icni//nhi porque//spa pues//spa nican//nhi yehuatl//nhi quicui//nhi para//spa tlaamaca//nhi xa//nhi amo//nhi no//nhi tlen//nhi quiluitoc//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_578697.0-580177.0.wav	yotlaniquis den escuela	yu tlanikis den escuela	ya salio de la escuela	yotlaniquis//nhi den//mixed escuela//nhi	train	ZWZ835
